,title,salary,jobtype,description,location
500,Data Science Director - Patient Safety COE,,,"Apply data wrangling by extracting, transforming, cleaning, and integrating relevant data for model development.","Gaithersburg, MD 20878"
501,Data Scientist (Personalization),,,"Familiarity with modeling behavioral/user data a plus.Experience with building data products, either internal or consumer-facing a plus.","New York, NY"
502,Data Engineering Co-op,$26.00 - $37.50 an hour,Remote,Support cloud migration of data science services.Experiment with and recommend new technologies that simplify or improve our data science technology stack.,"Burlington, MA•Remote"
503,Data Scientist - Resilience Modeling,,,"Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…","Menlo Park, CA"
504,"Data Scientist, NLP Text Mining",,Remote,Strong familiarity with unstructured data.3 or more years of experience developing and deploying text and data mining solutions.,Remote•Remote
505,Data Scientist (Decision Science Identity Team),,,"Use your expertise in data science, machine learning, and/or computer science to research and recommend solutions to our technology and business problems.","Chicago, IL 60606 (The Loop area)"
506,Data Analyst,,,Validate data daily using external data and research (quantitative and qualitative).Collaborate with colleagues on ad hoc projects within the data science…,"Boston, MA"
507,Data Analyst,"$48,600 a year",,"At least a BS in a quantitative field such as statistics, data science, or business analytics (MS or MBA is preferred).","Christiansburg, VA 24073+2 locations"
508,Data Engineer,,,"A BA/BS degree or higher in Computer Science, Mathematics, or relevant data technology field, or equivalent professional work experience in software development…","New York, NY+1 location"
509,Data Scientist,,,"Uses computational, computer science, data science, and software research and development principles, with relevant domain science knowledge where applicable,…","San Francisco, CA 94143 (Haight-Ashbury area)"
510,"Analyst, Data & Research","$58,240 - $76,638 a year",,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data.","Los Angeles, CA 90017 (Downtown area)"
511,Principal Program Manager - Microsoft Cloud Data Science,,,We then work with data engineering and data science counterparts to develop and deploy solutions that meet the business need.,"Redmond, WA 98052 (Overlake area)"
512,"Data Engineer, Core Data",,Remote,"Communicate insights and recommendations to key stakeholders, engineering, data science and product partners.You have 5+ years of experience in the development…","New York, NY•Remote"
513,"Sr. Full Stack Web Developer, Decision Science",,,The applications use data science and optimization techniques and are focused on improving operational efficiencies.,"Atlanta, GA"
514,Data Scientist,,,"Experience in data analysis, business intelligence, and predictive analytics.Contributor for making Symetra a data driven enterprise and deploying insights to…","Bellevue, WA 98004 (Downtown area)"
515,Data Science Manager,,,"You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…","Pleasanton, CA"
516,Data Scientist,,,"You will work with data engineers, software engineers, domain experts, and other data scientists to detect signal in the government’s data and then to build…","McLean, VA+1 location"
517,Data Scientist - Advanced Analytics,,,Experience with gathering and interpreting business requirements to design and create scalable data science solutions in a regulatory environment (including but…,"Bloomington, IL 61701"
518,Machine Learning & Data Engineer,,,Research and analyse data sets using a variety of statistical and machine learning techniques.Understand the Client Experience journey to formulate relevant…,"Plano, TX"
519,Data Scientist,,,Assist in assessing data source quality.Lead data mining and cleaning effort.The Data Scientist will also work a Data Engineer to ensure data are properly…,United States
520,"VP, Data Science",,,Develop data science solutions that can be tested and deployed to enable data-driven recommendations and outcomes.,"Jersey City, NJ"
521,"Data Scientist - Philadelphia, PA(Remote)",,Remote,"Python, SQL, Tableau, data science experience.Bachelor's degree in Computer science or equivalent, with minimum 8+ Years of relevant experience.","Philadelphia, PA•Remote"
522,Data Scientist,"$103,690 - $159,286 a year",,"Candidates for the NSA's Data Scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and…","Fort Meade, MD"
523,Data Scientist,,,"As a data scientist within our team, you will be working with our clients to design, create, evaluate, and maintain solutions using your experience and…","McLean, VA+2 locations"
524,Climate Health Data Scientist,,,"Experience working with publicly available socio-demographic data, including US Census data, local government data, and publicly available geographic data.","McLean, VA"
525,Data Scientist,,,"Recommend changes and any corrections to regulations, programs, procedures, processes, and testing to prevent recurrence of data quality problems.","Dayton, OH 45412 (Downtown area)"
526,Bioimaging Data Scientist/Analyst,,,Successful track record building algorithms and pipelines for image processing and analysis of 2D-5D fluorescence microscopy data.,"South San Francisco, CA 94080"
527,Postdoctoral Research Associate - Data Analytics for Advance...,,,"Development of imaging/sensing systems to collect data.Development of software and algorithms to collect, visualize, and analyze data.","Oak Ridge, TN 37830"
528,Sr. Data Analyst,,,Conceptual understanding of data warehouse systems and processes.Understanding and preferable experience in multi-dimensional data needs.,"Atlanta, GA 30313 (Downtown area)"
529,VP of Data Science,,,Be a jack of all trades in data: work on all stages of data science projects from understanding the data and the insights they provide to implementing solutions…,"Santa Clara, CA"
